timestamps,TP9,AF7,AF8,TP10,Right AUX
1786664747.751468,-11.082332528889214,-17.48298433631531,-14.382501208538448,37.10126599095422,-6.039547013197296
1786664747.7553742,-10.867066458486804,-20.166408228889885,-18.896080549174712,47.680632791318494,-1.18056785733181
1786664747.7592804,-11.339552994995454,-13.993666515475427,-19.447322575943666,47.005226091509336,-3.07345752040498
1786664747.7631867,-10.618524329172551,-13.7108298583014,-9.171183062239965,46.29849942599333,-5.096519274674256
1786664747.767093,-5.278094265616944,-23.528646038667627,-7.880349596223821,39.22141547787255,-8.526801789833328
1786664747.7709992,-6.970436813680605,-21.366031293005644,-7.1930191027626105,37.63343617739248,-4.534815313990144
1786664747.7749054,-10.88000355383667,-15.182337915393516,-4.219086758172125,28.028420737273418,-1.9058640677260383
1786664747.7788117,-12.478134644677198,-14.414506113922616,3.049706750021384,14.001764862489077,-0.09906091643054138
1786664747.782718,-7.867024372029607,-12.047055901255838,11.132699350497964,8.203713659921345,1.0430985249519187
1786664747.7866242,-6.0926391379256675,-11.86527162948525,18.506908744352085,1.2842891689753388,-1.3730777092537267
1786664747.7905304,-0.5045074523023052,-3.6853934950217675,20.72453049332334,-10.651454600244179,-3.372315952880007
1786664747.7944367,-2.419298476587931,-0.9401405773015659,23.869947018158676,-14.80862428793128,-4.081764884710309
1786664747.798343,4.663572831084837,-0.5546700316144291,24.120158518181537,-26.48329046550633,-6.871352514815632
1786664747.8022492,6.9768171452105285,4.98198217128309,29.467998856825606,-25.071707982260545,-5.968082067254137
1786664747.8061554,13.987385654156956,4.642222898617777,28.11292901217007,-24.03930401131112,-5.532963718053415
1786664747.8100617,23.034039988307388,2.388481617061652,34.32221691788312,-15.264681775124489,-2.0757960736281507
1786664747.813968,21.185131623766907,7.735500110483497,26.016488667076597,-17.203351880341124,1.100164670234029
1786664747.8178742,31.516225180920227,6.786171017227332,28.5025581918791,-6.572267781576193,-1.4773851616150537
1786664747.8217804,24.588508090627833,14.470344520538578,33.45329871539002,7.2196867087008005,-6.661296279480904
1786664747.8256867,22.07214716059964,14.011336854674534,27.197010908240827,12.905892983280038,-5.387557033165722
1786664747.829593,31.594413608118984,14.538447090002025,21.934179044790366,19.16902547429314,-5.046983876620522
1786664747.8334992,30.309419806525696,15.065429678316413,16.087969880353032,34.96061609817857,-1.5397581334726134
1786664747.8374054,15.834142757100949,21.966788643270394,10.782278504913595,47.643346964332565,3.088250297971652
1786664747.8413117,10.904004058352223,18.527859046156276,5.759424016054897,49.005236206942264,2.504420376126342
1786664747.845218,11.449545104276238,17.215081177039963,0.1732919174446721,57.58878476960308,-1.0367955737785222
1786664747.8491242,4.222246157039974,17.903271829867833,-5.601381991844777,56.434256110222364,3.105452143435514
1786664747.8530304,-8.086126806132189,20.832572301033405,-1.316427779718185,58.75085945728522,-2.927099028483343
1786664747.8569367,-14.74133044220724,20.3563920538214,-9.358243500594122,50.313517903319,-8.812151124374738
1786664747.860843,-15.648817621519317,19.633189170250322,-4.179040871658605,46.82650838885736,-5.062697889149507
1786664747.8647492,-20.35747819866889,19.210655847307702,-8.436122325813804,28.855130939781127,-3.098787009754292
1786664747.8686554,-20.554084331899357,22.09332289220802,-11.398735446813035,18.390429047062085,-6.057493765885496
1786664747.8725617,-21.313376268835423,11.241746752856152,-5.363789954214877,4.361809251645403,-2.0623162204846004
1786664747.876468,-21.22708565518689,6.730654864304049,-15.50940668904401,-0.25000783981496966,-7.519150065093779
1786664747.8803742,-28.636309955853314,3.51247656525722,-14.586409664482815,-10.321429491006608,-6.7321041273091575
1786664747.8842804,-11.361640977868612,5.855792007488228,-13.484842019753662,-16.425263755876557,-2.810612709362357
1786664747.8881867,-9.701460969646647,4.6762051458268825,-10.828706624390424,-22.02940183222564,-1.3363332684836928
1786664747.892093,-7.495945494656382,-3.3551125848336296,-11.328414932946338,-24.992537666593428,4.350109924402087
1786664747.8959992,1.183468832884624,-10.141039491656219,-4.201100130461034,-23.600992652842617,2.8771471354566014
1786664747.8999054,11.865016187861327,-13.246636816020574,-9.651390470230396,-20.75389772942564,-3.511432031980571
1786664747.9038117,18.383880377668792,-11.307654604841245,8.470576269031902,-17.811813881677303,-1.5608610926429114
1786664747.907718,25.092756455696385,-13.758923482600997,-4.810282819534121,-12.050348653547507,-1.1794033837417375
1786664747.9116242,30.68008350237422,-18.47778017859162,7.970071286424649,-6.383909411163352,6.152315082239519
1786664747.9155304,41.357677980579616,-25.860871990676856,3.337222053562442,9.182430531887157,8.699871017835903
1786664747.9194367,40.04366926863452,-26.320578835586428,-1.1606861204016776,13.541477258586202,4.475880002855642
1786664747.923343,43.48948283560625,-28.72627166676812,0.4490747605023282,25.007580052619268,5.972641940211546
1786664747.9272492,45.4000053144743,-29.998954691895133,0.09411723083938606,34.36164442645216,9.299246373020942
1786664747.9311554,36.24904952534523,-29.226943633265254,3.947475827982686,36.408816533441026,11.310626818986995
1786664747.9350617,25.68312240751618,-31.813557864148667,2.8959257008310253,41.494920193247054,6.004247036249688
1786664747.938968,10.420460124093541,-30.895015173139612,9.5327835898808,46.9378617508217,6.63718586027776
1786664747.9428742,8.933082027811286,-32.29273465595403,9.3760529555477,52.23032865628141,6.274195852872872
1786664747.9467804,11.341060543856837,-30.45029058225973,6.759053827439278,49.533825004677645,7.60218352822762
1786664747.9506867,-2.984993552259043,-28.262273128091152,12.449072684383712,42.16617063739159,2.0717710523038164
1786664747.954593,-17.226469051989604,-32.34521980556627,12.852661321836544,41.06464002216952,5.399593172538673
1786664747.9584992,-20.309968806560374,-25.892211643757427,8.936478812026213,27.70206424371833,3.212945906097777
1786664747.9624054,-27.77886103552539,-21.608656599137326,9.62694213621591,23.50672250198654,0.46372693006629984
1786664747.9663117,-28.030265608960068,-17.233939230059224,12.866581571742124,7.354013929158181,4.518236626936162
1786664747.970218,-28.465880360482657,-9.920821150991896,13.748024269760256,-3.0330611484788403,3.023104941300457
1786664747.9741242,-28.136295337828724,0.44091048225346574,8.264604077990102,-1.760101931167106,5.250981826184338
1786664747.9780304,-24.346128673013823,-1.6420217975741613,9.77760947377816,-23.8432725619964,0.3253581392082492
1786664747.9819367,-27.404975430865676,6.596398267685662,8.773583001409532,-23.080118787260147,0.8456817828483559
1786664747.985843,-12.517946816063866,2.3636569933431253,6.196516436811528,-28.999653005600518,-4.366222720762107
1786664747.9897492,-4.378314247944221,9.49284112773365,-0.6256793939396057,-31.028489068893222,-0.33344232293399034
1786664747.9936554,-10.044398326448286,15.10554106839466,-7.779487467444847,-24.098234758617732,-2.4660867566813414
1786664747.9975617,5.01892509404484,19.068241141604897,-4.30389213257342,-14.571063266746977,-1.10305644741881
1786664748.001468,9.58760744104109,20.99040195274732,-8.728068387074979,-14.379779288502753,1.1054644327621572
1786664748.0053742,12.220602008665523,20.888646362617273,-8.270746095318485,-17.932153037292284,-2.8278129543032064
1786664748.0092804,14.16656341082208,16.067745144911743,-12.835787510242696,-11.638932678889152,-6.87404046739954
1786664748.0131867,17.501099309294474,14.241164984712963,-13.434571683992488,-3.362568549428997,-3.242244579063281
1786664748.017093,21.38364047991347,16.371512325427535,-13.578134034419406,2.332311474518142,-3.330037246047541
1786664748.0209992,21.020920863049106,10.199319757895463,-14.4385446800833,15.392841843733219,-1.321519087363976
1786664748.0249054,28.32721182724174,3.2470170691838467,-10.491938820086443,16.26823636280004,1.1724437834361754
1786664748.0288117,15.94046108744229,0.7857870242890155,-9.066513731608964,13.941195044346152,-0.9219505206127823
1786664748.032718,20.11419076792619,0.09236194548893795,-2.139580903995962,14.847000331465683,-3.987153635899752
1786664748.0366242,11.43177346832002,3.0931028206497126,-5.51065816372869,11.27062621926145,-3.8450592854129932
1786664748.0405304,7.610052627105949,0.7564176063659908,-3.0238609045275515,10.72594770321049,-6.804462292271721
1786664748.0444367,10.100707528643623,-0.1282043787247672,1.6092070233706917,7.411291187166576,-2.6898261832957178
1786664748.048343,4.62366904613684,-5.813010339593573,7.6872717086842925,10.072769227701015,5.2612807236189845
1786664748.0522492,9.094688630353081,-6.25210720245036,-1.836881357981027,7.573462650214552,2.2527980315027465
1786664748.0561554,-0.22991310842707025,-6.869065789995773,-6.803059184905496,7.965081563580068,-2.410901335767774
1786664748.0600617,4.813233174375866,-11.706877641062274,-7.646578621601564,10.528033203482371,-0.7439229884981885
1786664748.063968,1.6577755940972132,-11.85814672686396,-6.372907754114772,4.7780810959776225,-1.1579514395693455
1786664748.0678742,-3.2003739666927,-17.118584678664913,-4.205022882702268,-2.044954924728321,-7.143087230502144
1786664748.0717804,-7.236258416492696,-17.935996134029992,6.040460495726068,12.77434638199287,-7.543487446140801
1786664748.0756867,-7.33728225997114,-19.105296060444747,0.954326831850409,10.054021096990327,-7.912747991038314
1786664748.079593,-4.647518475824111,-21.5084201457734,-4.737180785471272,6.406337935862561,-5.355735249148278
1786664748.0834992,4.134032247600944,-16.047649926522368,0.08912573443171024,12.610275555584735,-4.404285559377178
